Run	Sample	SampleName	title	exp_acc	donor	ctype
SRR2920496	SRS1159290	GSM1937406	 Donor2596-CD4-9A-150303	SRX1427819	 2596	CD4
SRR2920497	SRS1159289	GSM1937407	 Donor2596-CD8-10B-150303	SRX1427820	 2596	CD8
SRR2920498	SRS1159288	GSM1937408	 Donor2596-CLP-14A-150303	SRX1427821	 2596	CLP
SRR2920499	SRS1159287	GSM1937409	 Donor2596-CLP-14B-150303	SRX1427822	 2596	CLP
SRR2920500	SRS1159286	GSM1937410	 Donor2596-CMP-4A-150303	SRX1427823	 2596	CMP
SRR2920501	SRS1159285	GSM1937411	 Donor2596-CMP-4B-150303	SRX1427824	 2596	CMP
SRR2920502	SRS1159284	GSM1937412	 Donor2596-Erythroblast-15A-150303	SRX1427825	 2596	Erythroblast
SRR2920503	SRS1159283	GSM1937413	 Donor2596-Erythroblast-15B-150303	SRX1427826	 2596	Erythroblast
SRR2920504	SRS1159282	GSM1937414	 Donor2596-Erythroblast-15C-150303	SRX1427827	 2596	Erythroblast
SRR2920505	SRS1159280	GSM1937415	 Donor2596-GMP-5A-150303	SRX1427828	 2596	GMP
SRR2920506	SRS1159281	GSM1937416	 Donor2596-HSC-1A-150303	SRX1427829	 2596	HSC
SRR2920507	SRS1159279	GSM1937417	 Donor2596-HSC-1B-150303	SRX1427830	 2596	HSC
SRR2920508	SRS1159278	GSM1937418	 Donor2596-MEP-6A-150303	SRX1427831	 2596	MEP
SRR2920509	SRS1159277	GSM1937419	 Donor2596-MPP-2A-150303	SRX1427832	 2596	MPP
SRR2920510	SRS1159276	GSM1937420	 Donor2596-MPP-2B-150303	SRX1427833	 2596	MPP
SRR2920511	SRS1159275	GSM1937421	 Donor2596-NK-11B-150303	SRX1427834	 2596	NK
SRR2920512	SRS1159274	GSM1937422	 Donor2596-Nkcell-11A-150303	SRX1427835	 2596	NK
SRR2920513	SRS1159273	GSM1937423	 Donor4983-Bcell-13A-150120	SRX1427836	 4983	Bcell
SRR2920514	SRS1159272	GSM1937424	 Donor4983-CD4-9A-150120	SRX1427837	 4983	CD4
SRR2920515	SRS1159271	GSM1937425	 Donor4983-CD8-10A-150120	SRX1427838	 4983	CD8
SRR2920516	SRS1159269	GSM1937426	 Donor4983-Nkcell-11A-150120	SRX1427839	 4983	NK
SRR2920517	SRS1159270	GSM1937427	 Donor5483-Bcell-13A-150305	SRX1427840	 5483	Bcell
SRR2920518	SRS1159268	GSM1937428	 Donor5483-CD4-9A-150305	SRX1427841	 5483	CD4
SRR2920519	SRS1159267	GSM1937429	 Donor5483-CD4-9B-150305	SRX1427842	 5483	CD4
SRR2920520	SRS1159266	GSM1937430	 Donor5483-CD8-10A-150305	SRX1427843	 5483	CD8
SRR2920521	SRS1159265	GSM1937431	 Donor5483-CD8-10B-150305	SRX1427844	 5483	CD8
SRR2920522	SRS1159264	GSM1937432	 Donor5483-CLP-14A-150305	SRX1427845	 5483	CLP
SRR2920523	SRS1159263	GSM1937433	 Donor5483-Erythroblast-15A-150305	SRX1427846	 5483	Erythroblast
SRR2920524	SRS1159262	GSM1937434	 Donor5483-Erythroblast-15B-150305	SRX1427847	 5483	Erythroblast
SRR2920525	SRS1159261	GSM1937435	 Donor5483-Erythroblast-15C-150305	SRX1427848	 5483	Erythroblast
SRR2920526	SRS1159260	GSM1937436	 Donor5483-NK-11A-150305	SRX1427849	 5483	NK
SRR2920527	SRS1159259	GSM1937437	 Donor5483-Nkcell-11B-150305	SRX1427850	 5483	NK
SRR2920528	SRS1159258	GSM1937438	 Donor6926-CLP-14A-150318	SRX1427851	 6926	CLP
SRR2920529	SRS1159256	GSM1937439	 Donor6926-Erythroblast-15A-150318	SRX1427852	 6926	Erythroblast
SRR2920530	SRS1159257	GSM1937440	 Donor6926-Erythroblast-15B-150318	SRX1427853	 6926	Erythroblast
SRR2920531	SRS1159255	GSM1937441	 Donor7256-1A-110614	SRX1427854	 7256	HSC
SRR2920532	SRS1159253	GSM1937442	 Donor7256-1B-110614	SRX1427855	 7256	HSC
SRR2920533	SRS1159254	GSM1937443	 Donor7256-2A-110614	SRX1427856	 7256	MPP
SRR2920534	SRS1159252	GSM1937444	 Donor7256-2B-110614	SRX1427857	 7256	MPP
SRR2920535	SRS1159251	GSM1937445	 Donor7256-3A-141106	SRX1427858	 7256	LMPP
SRR2920536	SRS1159250	GSM1937446	 Donor7256-4A-110614	SRX1427859	 7256	CMP
SRR2920537	SRS1159249	GSM1937447	 Donor7256-4B-141106	SRX1427860	 7256	CMP
SRR2920538	SRS1159248	GSM1937448	 Donor7256-5A-141106	SRX1427861	 7256	GMP
SRR2920539	SRS1159247	GSM1937449	 Donor7256-5B-141106	SRX1427862	 7256	GMP
SRR2920540	SRS1159246	GSM1937450	 Donor7256-6A-141106	SRX1427863	 7256	MEP
SRR2920541	SRS1159245	GSM1937451	 Donor7256-6B-141106	SRX1427864	 7256	MEP
SRR2920542	SRS1159244	GSM1937452	 Donor7256-7A-141106	SRX1427865	 7256	Mono
SRR2920543	SRS1159243	GSM1937453	 Donor7256-7B-141106	SRX1427866	 7256	Mono
SRR2920544	SRS1159242	GSM1937454	 Donor5483-Bcell-13B-150305	SRX1427867	 5483	Bcell
SRR2920545	SRS1159241	GSM1937455	 Donor6926-CLP-14B-150318	SRX1427868	 6926	CLP
SRR2920466	SRS1159320	GSM1937376	 4983-1A	SRX1427789	 4983	HSC
SRR2920467	SRS1159319	GSM1937377	 4983-2A	SRX1427790	 4983	MPP
SRR2920468	SRS1159318	GSM1937378	 4983-3A	SRX1427791	 4983	LMPP
SRR2920469	SRS1159317	GSM1937379	 4983-4A	SRX1427792	 4983	CMP
SRR2920470	SRS1159315	GSM1937380	 4983-4B	SRX1427793	 4983	CMP
SRR2920471	SRS1159316	GSM1937381	 4983-5A	SRX1427794	 4983	GMP
SRR2920472	SRS1159314	GSM1937382	 4983-5B	SRX1427795	 4983	GMP
SRR2920473	SRS1159313	GSM1937383	 4983-6A	SRX1427796	 4983	MEP
SRR2920474	SRS1159312	GSM1937384	 4983-6B	SRX1427797	 4983	MEP
SRR2920475	SRS1159311	GSM1937385	 4983-7A	SRX1427798	 4983	Mono
SRR2920476	SRS1159310	GSM1937386	 4983-7B	SRX1427799	 4983	Mono
SRR2920477	SRS1159307	GSM1937387	 6792-1A	SRX1427800	 6792	HSC
SRR2920478	SRS1159308	GSM1937388	 6792-1B	SRX1427801	 6792	HSC
SRR2920479	SRS1159306	GSM1937389	 6792-2A	SRX1427802	 6792	MPP
SRR2920480	SRS1159305	GSM1937390	 6792-3A	SRX1427803	 6792	LMPP
SRR2920481	SRS1159304	GSM1937391	 6792-4A	SRX1427804	 6792	CMP
SRR2920482	SRS1159303	GSM1937392	 6792-4B	SRX1427805	 6792	CMP
SRR2920483	SRS1159302	GSM1937393	 6792-5A	SRX1427806	 6792	GMP
SRR2920484	SRS1159300	GSM1937394	 6792-5B	SRX1427807	 6792	GMP
SRR2920485	SRS1159301	GSM1937395	 6792-6A	SRX1427808	 6792	MEP
SRR2920486	SRS1159299	GSM1937396	 6792-6B	SRX1427809	 6792	MEP
SRR2920487	SRS1159309	GSM1937397	 6792-7A	SRX1427810	 6792	Mono
SRR2920488	SRS1159298	GSM1937398	 6792-7B	SRX1427811	 6792	Mono
SRR2920492	SRS1159293	GSM1937402	 Donor1022-Bcell-13-150120	SRX1427815	 1022	Bcell
SRR2920493	SRS1159295	GSM1937403	 Donor1022-CD4-9-150120	SRX1427816	 1022	CD4
SRR2920494	SRS1159292	GSM1937404	 Donor1022-CD8-10-150120	SRX1427817	 1022	CD8
SRR2920495	SRS1159291	GSM1937405	 Donor1022-Nkcell-11-150120	SRX1427818	 1022	NK
